id,street,ward,district,city,code
0,đường 1,None,bình chánh,hồ chí minh,SG
1,đường 10,None,bình chánh,hồ chí minh,SG
2,đường 10a,None,bình chánh,hồ chí minh,SG
3,đường 10b,None,bình chánh,hồ chí minh,SG
4,đường 11,None,bình chánh,hồ chí minh,SG
5,đường 12,None,bình chánh,hồ chí minh,SG
6,đường 13,None,bình chánh,hồ chí minh,SG
7,đường 14,None,bình chánh,hồ chí minh,SG
8,đường 15,None,bình chánh,hồ chí minh,SG
9,đường 16,None,bình chánh,hồ chí minh,SG
10,đường 17,None,bình chánh,hồ chí minh,SG
11,đường 18,None,bình chánh,hồ chí minh,SG
12,đường 19,None,bình chánh,hồ chí minh,SG
13,đường 1a,None,bình chánh,hồ chí minh,SG
14,đường 1b,None,bình chánh,hồ chí minh,SG
15,đường 1e,None,bình chánh,hồ chí minh,SG
16,đường 2,None,bình chánh,hồ chí minh,SG
17,đường 21,None,bình chánh,hồ chí minh,SG
18,đường 22,None,bình chánh,hồ chí minh,SG
19,đường 234,None,bình chánh,hồ chí minh,SG
20,đường 24,None,bình chánh,hồ chí minh,SG
21,đường 26,None,bình chánh,hồ chí minh,SG
22,đường 27,None,bình chánh,hồ chí minh,SG
23,đường 2a,None,bình chánh,hồ chí minh,SG
24,đường 2b,None,bình chánh,hồ chí minh,SG
25,đường 3,None,bình chánh,hồ chí minh,SG
26,đường 33,None,bình chánh,hồ chí minh,SG
27,đường 3a,None,bình chánh,hồ chí minh,SG
28,đường 3b,None,bình chánh,hồ chí minh,SG
29,đường 4,None,bình chánh,hồ chí minh,SG
30,đường 47,None,bình chánh,hồ chí minh,SG
31,đường 4c,None,bình chánh,hồ chí minh,SG
32,đường 4e,None,bình chánh,hồ chí minh,SG
33,đường 5,None,bình chánh,hồ chí minh,SG
34,đường 50,None,bình chánh,hồ chí minh,SG
35,đường 51,None,bình chánh,hồ chí minh,SG
36,đường 5a,None,bình chánh,hồ chí minh,SG
37,đường 5b,None,bình chánh,hồ chí minh,SG
38,đường 5c,None,bình chánh,hồ chí minh,SG
39,đường 5d,None,bình chánh,hồ chí minh,SG
40,đường 6,None,bình chánh,hồ chí minh,SG
41,đường 6a,None,bình chánh,hồ chí minh,SG
42,đường 6b,None,bình chánh,hồ chí minh,SG
43,đường 6c,None,bình chánh,hồ chí minh,SG
44,đường 6d,None,bình chánh,hồ chí minh,SG
45,đường 6t,None,bình chánh,hồ chí minh,SG
46,đường 7,None,bình chánh,hồ chí minh,SG
47,đường 7 tấn,None,bình chánh,hồ chí minh,SG
48,đường 8,None,bình chánh,hồ chí minh,SG
49,đường 835b,None,bình chánh,hồ chí minh,SG
50,đường 8a,None,bình chánh,hồ chí minh,SG
51,đường 8b,None,bình chánh,hồ chí minh,SG
52,đường 8c,None,bình chánh,hồ chí minh,SG
53,đường 9,None,bình chánh,hồ chí minh,SG
54,đường 9a,None,bình chánh,hồ chí minh,SG
55,a1,None,bình chánh,hồ chí minh,SG
56,an hạ,None,bình chánh,hồ chí minh,SG
57,an phú đông 27,None,bình chánh,hồ chí minh,SG
58,an phú tây,None,bình chánh,hồ chí minh,SG
59,b10,None,bình chánh,hồ chí minh,SG
60,b6,None,bình chánh,hồ chí minh,SG
61,bà cả,None,bình chánh,hồ chí minh,SG
62,bà hom,None,bình chánh,hồ chí minh,SG
63,bà thau,None,bình chánh,hồ chí minh,SG
64,bà tỵ,None,bình chánh,hồ chí minh,SG
65,bến lội,None,bình chánh,hồ chí minh,SG
66,bình trường,None,bình chánh,hồ chí minh,SG
67,bờ huệ,None,bình chánh,hồ chí minh,SG
68,bờ kênh,None,bình chánh,hồ chí minh,SG
69,bờ nhà thờ,None,bình chánh,hồ chí minh,SG
70,bờ xe lam,None,bình chánh,hồ chí minh,SG
71,bông văn dĩa,None,bình chánh,hồ chí minh,SG
72,bùi thanh khiết,None,bình chánh,hồ chí minh,SG
73,bùi văn sự,None,bình chánh,hồ chí minh,SG
74,c2,None,bình chánh,hồ chí minh,SG
75,c3,None,bình chánh,hồ chí minh,SG
76,c4,None,bình chánh,hồ chí minh,SG
77,c7,None,bình chánh,hồ chí minh,SG
78,c9,None,bình chánh,hồ chí minh,SG
79,cao lỗ,None,bình chánh,hồ chí minh,SG
80,cầu suối,None,bình chánh,hồ chí minh,SG
81,cây bàn,None,bình chánh,hồ chí minh,SG
82,cây bàng,None,bình chánh,hồ chí minh,SG
83,cây cám,None,bình chánh,hồ chí minh,SG
84,cây dương,None,bình chánh,hồ chí minh,SG
85,chánh hưng,None,bình chánh,hồ chí minh,SG
86,chiến lược,None,bình chánh,hồ chí minh,SG
87,chùa,None,bình chánh,hồ chí minh,SG
88,công nghệ mới,None,bình chánh,hồ chí minh,SG
89,d17,None,bình chánh,hồ chí minh,SG
90,d2,None,bình chánh,hồ chí minh,SG
91,d6,None,bình chánh,hồ chí minh,SG
92,đa phước,None,bình chánh,hồ chí minh,SG
93,đinh đức thiện,None,bình chánh,hồ chí minh,SG
94,đoàn nguyễn tuân,None,bình chánh,hồ chí minh,SG
95,đoàn nguyễn tuấn,None,bình chánh,hồ chí minh,SG
96,đông hưng thuận 6,None,bình chánh,hồ chí minh,SG
97,đường đất,None,bình chánh,hồ chí minh,SG
98,dương đình cúc,None,bình chánh,hồ chí minh,SG
99,g6,None,bình chánh,hồ chí minh,SG
100,g7,None,bình chánh,hồ chí minh,SG
101,giao thông hào,None,bình chánh,hồ chí minh,SG
102,hà thanh,None,bình chánh,hồ chí minh,SG
103,hàng cọ,None,bình chánh,hồ chí minh,SG
104,hàng cọ 9a,None,bình chánh,hồ chí minh,SG
105,hậu lân,None,bình chánh,hồ chí minh,SG
106,hiệp thành 13,None,bình chánh,hồ chí minh,SG
107,hiệp thành 7,None,bình chánh,hồ chí minh,SG
108,hoàng đạo thúy,None,bình chánh,hồ chí minh,SG
109,hoàng phan thái,None,bình chánh,hồ chí minh,SG
110,hóc hữu,None,bình chánh,hồ chí minh,SG
111,hưng long,None,bình chánh,hồ chí minh,SG
112,hưng nhơn,None,bình chánh,hồ chí minh,SG
113,hương lộ  80,None,bình chánh,hồ chí minh,SG
114,hương lộ 11,None,bình chánh,hồ chí minh,SG
115,hương lộ 14,None,bình chánh,hồ chí minh,SG
116,huỳnh bá chánh,None,bình chánh,hồ chí minh,SG
117,huỳnh hữu trí,None,bình chánh,hồ chí minh,SG
118,huỳnh văn trí,None,bình chánh,hồ chí minh,SG
119,kênh,None,bình chánh,hồ chí minh,SG
120,kênh 10,None,bình chánh,hồ chí minh,SG
121,kênh 7,None,bình chánh,hồ chí minh,SG
122,kênh 8,None,bình chánh,hồ chí minh,SG
123,kênh 9,None,bình chánh,hồ chí minh,SG
124,kênh a,None,bình chánh,hồ chí minh,SG
125,kênh c,None,bình chánh,hồ chí minh,SG
126,kênh trung ương,None,bình chánh,hồ chí minh,SG
127,khuất văn bức,None,bình chánh,hồ chí minh,SG
128,kinh 11,None,bình chánh,hồ chí minh,SG
129,kinh 4,None,bình chánh,hồ chí minh,SG
130,kinh 6,None,bình chánh,hồ chí minh,SG
131,kinh a,None,bình chánh,hồ chí minh,SG
132,kinh b12,None,bình chánh,hồ chí minh,SG
133,kinh rau răm,None,bình chánh,hồ chí minh,SG
134,kinh trung ương,None,bình chánh,hồ chí minh,SG
135,lại hùng cường,None,bình chánh,hồ chí minh,SG
136,láng le bàu cò,None,bình chánh,hồ chí minh,SG
137,lê chân,None,bình chánh,hồ chí minh,SG
138,lê chính đang,None,bình chánh,hồ chí minh,SG
139,lê đình chi,None,bình chánh,hồ chí minh,SG
140,lê minh xuân,None,bình chánh,hồ chí minh,SG
141,lê quý hoàn,None,bình chánh,hồ chí minh,SG
142,liên ấp,None,bình chánh,hồ chí minh,SG
143,liên ấp 1-2,None,bình chánh,hồ chí minh,SG
144,liên ấp 123,None,bình chánh,hồ chí minh,SG
145,liên ấp 2-3,None,bình chánh,hồ chí minh,SG
146,liên ấp 2-3-4,None,bình chánh,hồ chí minh,SG
147,liên ấp 2-6,None,bình chánh,hồ chí minh,SG
148,liên ấp 3-4-5,None,bình chánh,hồ chí minh,SG
149,liên ấp 4-5,None,bình chánh,hồ chí minh,SG
150,liên ấp 5-6,None,bình chánh,hồ chí minh,SG
151,liên ấp 6,None,bình chánh,hồ chí minh,SG
152,liên ấp 6-2,None,bình chánh,hồ chí minh,SG
153,liên khu 123,None,bình chánh,hồ chí minh,SG
154,liên khu 2-6,None,bình chánh,hồ chí minh,SG
155,liên khu 4-5,None,bình chánh,hồ chí minh,SG
156,liên khu 5 - 6,None,bình chánh,hồ chí minh,SG
157,liên thôn 1-2-3,None,bình chánh,hồ chí minh,SG
158,linh hòa,None,bình chánh,hồ chí minh,SG
159,lô 2,None,bình chánh,hồ chí minh,SG
160,lộc hòa,None,bình chánh,hồ chí minh,SG
161,lương định của,None,bình chánh,hồ chí minh,SG
162,lý ông trọng,None,bình chánh,hồ chí minh,SG
163,mai bá hương,None,bình chánh,hồ chí minh,SG
164,mương khai,None,bình chánh,hồ chí minh,SG
165,nguyễn an ninh,None,bình chánh,hồ chí minh,SG
166,nguyễn cửu phú,None,bình chánh,hồ chí minh,SG
167,nguyễn đình kiên,None,bình chánh,hồ chí minh,SG
168,nguyễn đoàn tuân,None,bình chánh,hồ chí minh,SG
169,nguyễn hữu trí,None,bình chánh,hồ chí minh,SG
170,nguyễn huy chương,None,bình chánh,hồ chí minh,SG
171,nguyễn khanh,None,bình chánh,hồ chí minh,SG
172,nguyễn thái bình,None,bình chánh,hồ chí minh,SG
173,nguyễn thị dung,None,bình chánh,hồ chí minh,SG
174,nguyễn thị sưa,None,bình chánh,hồ chí minh,SG
175,nguyễn thị thập,None,bình chánh,hồ chí minh,SG
176,nguyễn thị tú,None,bình chánh,hồ chí minh,SG
177,nguyễn tri phương,None,bình chánh,hồ chí minh,SG
178,nguyễn văn bứa,None,bình chánh,hồ chí minh,SG
179,nguyễn văn cừ,None,bình chánh,hồ chí minh,SG
180,nguyễn văn linh,None,bình chánh,hồ chí minh,SG
181,nguyễn văn long,None,bình chánh,hồ chí minh,SG
182,nguyễn văn thời,None,bình chánh,hồ chí minh,SG
183,nữ dân công,None,bình chánh,hồ chí minh,SG
184,phạm hùng,None,bình chánh,hồ chí minh,SG
185,phạm tấn mười,None,bình chánh,hồ chí minh,SG
186,phạm văn sáng,None,bình chánh,hồ chí minh,SG
187,phạm văn thuận,None,bình chánh,hồ chí minh,SG
188,phan văn mảng,None,bình chánh,hồ chí minh,SG
189,phước lý,None,bình chánh,hồ chí minh,SG
190,quách điêu,None,bình chánh,hồ chí minh,SG
191,quốc lộ 1a,None,bình chánh,hồ chí minh,SG
192,quốc lộ 2,None,bình chánh,hồ chí minh,SG
193,quốc lộ 50,None,bình chánh,hồ chí minh,SG
194,quốc lộ 80,None,bình chánh,hồ chí minh,SG
195,quốc lộ 8a,None,bình chánh,hồ chí minh,SG
196,rạch bà lớn,None,bình chánh,hồ chí minh,SG
197,rạch bàu gốc,None,bình chánh,hồ chí minh,SG
198,rạch cầu suối,None,bình chánh,hồ chí minh,SG
199,rạch ông đồ,None,bình chánh,hồ chí minh,SG
200,số 1,None,bình chánh,hồ chí minh,SG
201,số 10,None,bình chánh,hồ chí minh,SG
202,số 11,None,bình chánh,hồ chí minh,SG
203,số 12,None,bình chánh,hồ chí minh,SG
204,số 12b,None,bình chánh,hồ chí minh,SG
205,số 13,None,bình chánh,hồ chí minh,SG
206,số 14,None,bình chánh,hồ chí minh,SG
207,số 16,None,bình chánh,hồ chí minh,SG
208,số 18,None,bình chánh,hồ chí minh,SG
209,số 19,None,bình chánh,hồ chí minh,SG
210,số 1a,None,bình chánh,hồ chí minh,SG
211,số 1e,None,bình chánh,hồ chí minh,SG
212,số 2,None,bình chánh,hồ chí minh,SG
213,số 24,None,bình chánh,hồ chí minh,SG
214,số 3,None,bình chánh,hồ chí minh,SG
215,số 4,None,bình chánh,hồ chí minh,SG
216,số 5,None,bình chánh,hồ chí minh,SG
217,số 6,None,bình chánh,hồ chí minh,SG
218,số 6a,None,bình chánh,hồ chí minh,SG
219,số 6b,None,bình chánh,hồ chí minh,SG
220,số 6d,None,bình chánh,hồ chí minh,SG
221,số 7,None,bình chánh,hồ chí minh,SG
222,số 8,None,bình chánh,hồ chí minh,SG
223,số 9,None,bình chánh,hồ chí minh,SG
224,số 9a,None,bình chánh,hồ chí minh,SG
225,sư đoàn 9,None,bình chánh,hồ chí minh,SG
226,t10,None,bình chánh,hồ chí minh,SG
227,t11,None,bình chánh,hồ chí minh,SG
228,t12,None,bình chánh,hồ chí minh,SG
229,t14,None,bình chánh,hồ chí minh,SG
