id,street,ward,district,city,code
0,duong 1,None,binh chanh,ho chi minh,SG
1,duong 10,None,binh chanh,ho chi minh,SG
2,duong 10a,None,binh chanh,ho chi minh,SG
3,duong 10b,None,binh chanh,ho chi minh,SG
4,duong 11,None,binh chanh,ho chi minh,SG
5,duong 12,None,binh chanh,ho chi minh,SG
6,duong 13,None,binh chanh,ho chi minh,SG
7,duong 14,None,binh chanh,ho chi minh,SG
8,duong 15,None,binh chanh,ho chi minh,SG
9,duong 16,None,binh chanh,ho chi minh,SG
10,duong 17,None,binh chanh,ho chi minh,SG
11,duong 18,None,binh chanh,ho chi minh,SG
12,duong 19,None,binh chanh,ho chi minh,SG
13,duong 1a,None,binh chanh,ho chi minh,SG
14,duong 1b,None,binh chanh,ho chi minh,SG
15,duong 1e,None,binh chanh,ho chi minh,SG
16,duong 2,None,binh chanh,ho chi minh,SG
17,duong 21,None,binh chanh,ho chi minh,SG
18,duong 22,None,binh chanh,ho chi minh,SG
19,duong 234,None,binh chanh,ho chi minh,SG
20,duong 24,None,binh chanh,ho chi minh,SG
21,duong 26,None,binh chanh,ho chi minh,SG
22,duong 27,None,binh chanh,ho chi minh,SG
23,duong 2a,None,binh chanh,ho chi minh,SG
24,duong 2b,None,binh chanh,ho chi minh,SG
25,duong 3,None,binh chanh,ho chi minh,SG
26,duong 33,None,binh chanh,ho chi minh,SG
27,duong 3a,None,binh chanh,ho chi minh,SG
28,duong 3b,None,binh chanh,ho chi minh,SG
29,duong 4,None,binh chanh,ho chi minh,SG
30,duong 47,None,binh chanh,ho chi minh,SG
31,duong 4c,None,binh chanh,ho chi minh,SG
32,duong 4e,None,binh chanh,ho chi minh,SG
33,duong 5,None,binh chanh,ho chi minh,SG
34,duong 50,None,binh chanh,ho chi minh,SG
35,duong 51,None,binh chanh,ho chi minh,SG
36,duong 5a,None,binh chanh,ho chi minh,SG
37,duong 5b,None,binh chanh,ho chi minh,SG
38,duong 5c,None,binh chanh,ho chi minh,SG
39,duong 5d,None,binh chanh,ho chi minh,SG
40,duong 6,None,binh chanh,ho chi minh,SG
41,duong 6a,None,binh chanh,ho chi minh,SG
42,duong 6b,None,binh chanh,ho chi minh,SG
43,duong 6c,None,binh chanh,ho chi minh,SG
44,duong 6d,None,binh chanh,ho chi minh,SG
45,duong 6t,None,binh chanh,ho chi minh,SG
46,duong 7,None,binh chanh,ho chi minh,SG
47,duong 7 tan,None,binh chanh,ho chi minh,SG
48,duong 8,None,binh chanh,ho chi minh,SG
49,duong 835b,None,binh chanh,ho chi minh,SG
50,duong 8a,None,binh chanh,ho chi minh,SG
51,duong 8b,None,binh chanh,ho chi minh,SG
52,duong 8c,None,binh chanh,ho chi minh,SG
53,duong 9,None,binh chanh,ho chi minh,SG
54,duong 9a,None,binh chanh,ho chi minh,SG
55,a1,None,binh chanh,ho chi minh,SG
56,an ha,None,binh chanh,ho chi minh,SG
57,an phu dong 27,None,binh chanh,ho chi minh,SG
58,an phu tay,None,binh chanh,ho chi minh,SG
59,b10,None,binh chanh,ho chi minh,SG
60,b6,None,binh chanh,ho chi minh,SG
61,ba ca,None,binh chanh,ho chi minh,SG
62,ba hom,None,binh chanh,ho chi minh,SG
63,ba thau,None,binh chanh,ho chi minh,SG
64,ba ty,None,binh chanh,ho chi minh,SG
65,ben loi,None,binh chanh,ho chi minh,SG
66,binh truong,None,binh chanh,ho chi minh,SG
67,bo hue,None,binh chanh,ho chi minh,SG
68,bo kenh,None,binh chanh,ho chi minh,SG
69,bo nha tho,None,binh chanh,ho chi minh,SG
70,bo xe lam,None,binh chanh,ho chi minh,SG
71,bong van dia,None,binh chanh,ho chi minh,SG
72,bui thanh khiet,None,binh chanh,ho chi minh,SG
73,bui van su,None,binh chanh,ho chi minh,SG
74,c2,None,binh chanh,ho chi minh,SG
75,c3,None,binh chanh,ho chi minh,SG
76,c4,None,binh chanh,ho chi minh,SG
77,c7,None,binh chanh,ho chi minh,SG
78,c9,None,binh chanh,ho chi minh,SG
79,cao lo,None,binh chanh,ho chi minh,SG
80,cau suoi,None,binh chanh,ho chi minh,SG
81,cay ban,None,binh chanh,ho chi minh,SG
82,cay bang,None,binh chanh,ho chi minh,SG
83,cay cam,None,binh chanh,ho chi minh,SG
84,cay duong,None,binh chanh,ho chi minh,SG
85,chanh hung,None,binh chanh,ho chi minh,SG
86,chien luoc,None,binh chanh,ho chi minh,SG
87,chua,None,binh chanh,ho chi minh,SG
88,cong nghe moi,None,binh chanh,ho chi minh,SG
89,d17,None,binh chanh,ho chi minh,SG
90,d2,None,binh chanh,ho chi minh,SG
91,d6,None,binh chanh,ho chi minh,SG
92,da phuoc,None,binh chanh,ho chi minh,SG
93,dinh duc thien,None,binh chanh,ho chi minh,SG
94,doan nguyen tuan,None,binh chanh,ho chi minh,SG
95,doan nguyen tuan,None,binh chanh,ho chi minh,SG
96,dong hung thuan 6,None,binh chanh,ho chi minh,SG
97,duong dat,None,binh chanh,ho chi minh,SG
98,duong dinh cuc,None,binh chanh,ho chi minh,SG
99,g6,None,binh chanh,ho chi minh,SG
100,g7,None,binh chanh,ho chi minh,SG
101,giao thong hao,None,binh chanh,ho chi minh,SG
102,ha thanh,None,binh chanh,ho chi minh,SG
103,hang co,None,binh chanh,ho chi minh,SG
104,hang co 9a,None,binh chanh,ho chi minh,SG
105,hau lan,None,binh chanh,ho chi minh,SG
106,hiep thanh 13,None,binh chanh,ho chi minh,SG
